n,L,grad_comp_var,norm_mean
4,2,0.005523300027608777,0.23351606085571003
4,2,0.006747363910626487,0.237059438226391
4,2,0.006853386513740336,0.23617843172257771
4,3,0.003987337817253174,0.28992638759153544
4,3,0.0044076720320529155,0.2921674597916432
4,3,0.004821643236879079,0.2935612770609314
4,5,0.00449313464673687,0.37169349149752745
4,5,0.004023506091367785,0.3661183511876231
4,5,0.00509512335694724,0.3722376813979743
6,2,0.0019375176504492213,0.15880830726380124
6,2,0.002301452421050432,0.15786083722498087
6,2,0.0020327716362194604,0.15445747920784825
6,3,0.0010879551893310012,0.18334054051215937
6,3,0.001381816163065686,0.18811772350070008
6,3,0.0010930860687919288,0.18826882410628692
6,5,0.0009058495675818988,0.19216239683358502
6,5,0.0008516093826448735,0.18947758851383567
6,5,0.0008441847268624686,0.1906086846833311
8,2,0.0013857584187655977,0.1292818343919066
8,2,0.001032062778843118,0.12337076532335897
8,2,0.0010690908615504449,0.1250701384996685
8,3,0.0007008436190425079,0.14301178003674997
8,3,0.0005422285855482231,0.13905113853827383
8,3,0.0005484151214078913,0.13869720486994827
8,5,0.0002919336955953917,0.12294048551009693
8,5,0.00026611797599394117,0.12265145221821726
8,5,0.00025959464500004066,0.11995284036099449
10,2,0.0008573002308629754,0.10408796355209797
10,2,0.0009716770574567346,0.10520460575543854
10,2,0.0006310141054524128,0.10324822334266352
10,3,0.0003411484699207498,0.11493390647269354
10,3,0.0003078324160570964,0.11315100162688728
10,3,0.0003071351242888846,0.11572051303351845
10,5,0.00013541479167727133,0.09099746962410107
10,5,0.00013697552705652072,0.09132567402645425
10,5,0.0001688048834194194,0.09135272414158685
